Design Points,extrusion,angle_1,radius_small,radius_large,distance_between_circles,frame_fillet_radius,angle_2,ply_angle_1,ply_angle_2,ply_angle_3,ply_angle_4,ply_angle_5,ply_angle_6,ply_angle_7,ply_angle_8,ply_angle_9,ply_angle_10,ply_angle_11,ply_angle_12,ply_angle_13,ply_angle_14,ply_angle_15,ply_angle_16,ply_angle_17,ply_angle_18,ply_angle_19,ply_angle_20,ply_angle_21,ply_angle_22,ply_angle_23,ply_angle_24,ply_angle_25,ply_angle_26,ply_angle_27,ply_angle_28,ply_angle_29,ply_angle_30,ply_angle_31,ply_angle_32,ply_angle_33,ply_angle_34,ply_angle_35,ply_angle_36,ply_angle_37,ply_angle_38,ply_angle_39,ply_angle_40,ply_angle_41,ply_angle_42,ply_angle_43,ply_angle_44,ply_angle_45,ply_angle_46,ply_angle_47,ply_angle_48,ply_angle_49,ply_angle_50,ply_angle_51,ply_angle_52,ply_angle_53,ply_angle_54,ply_angle_55,ply_angle_56,ply_angle_57,ply_angle_58,ply_angle_59,ply_angle_60,ply_angle_61,ply_angle_62,ply_angle_63,ply_angle_64,ply_angle_65,ply_angle_66,ply_angle_67,ply_angle_68,ply_angle_69,ply_angle_70,ply_angle_71,ply_angle_72,ply_angle_73,ply_angle_74,ply_angle_75,ply_angle_76,ply_angle_77,ply_angle_78,ply_angle_79,ply_angle_80,ply_angle_81,ply_angle_82,ply_angle_83,ply_angle_84,ply_angle_85,ply_angle_86,ply_angle_87,ply_angle_88,ply_angle_89,ply_angle_90,ply_angle_91,ply_angle_92,ply_angle_93,ply_angle_94,ply_angle_95,ply_angle_96,ply_angle_97,ply_angle_98,ply_angle_99,ply_angle_100,ply_active_'''''''True,ply_active_2,ply_active_3,ply_active_4,ply_active_5,ply_active_6,ply_active_7,ply_active_8,ply_active_9,ply_active_'''''''True'''''''False,ply_active_'''''''True'''''''True,ply_active_'''''''True2,ply_active_'''''''True3,ply_active_'''''''True4,ply_active_'''''''True5,ply_active_'''''''True6,ply_active_'''''''True7,ply_active_'''''''True8,ply_active_'''''''True9,ply_active_2'''''''False,ply_active_2'''''''True,ply_active_22,ply_active_23,ply_active_24,ply_active_25,ply_active_26,ply_active_27,ply_active_28,ply_active_29,ply_active_3'''''''False,ply_active_3'''''''True,ply_active_32,ply_active_33,ply_active_34,ply_active_35,ply_active_36,ply_active_37,ply_active_38,ply_active_39,ply_active_4'''''''False,ply_active_4'''''''True,ply_active_42,ply_active_43,ply_active_44,ply_active_45,ply_active_46,ply_active_47,ply_active_48,ply_active_49,ply_active_5'''''''False,ply_active_5'''''''True,ply_active_52,ply_active_53,ply_active_54,ply_active_55,ply_active_56,ply_active_57,ply_active_58,ply_active_59,ply_active_6'''''''False,ply_active_6'''''''True,ply_active_62,ply_active_63,ply_active_64,ply_active_65,ply_active_66,ply_active_67,ply_active_68,ply_active_69,ply_active_7'''''''False,ply_active_7'''''''True,ply_active_72,ply_active_73,ply_active_74,ply_active_75,ply_active_76,ply_active_77,ply_active_78,ply_active_79,ply_active_8'''''''False,ply_active_8'''''''True,ply_active_82,ply_active_83,ply_active_84,ply_active_85,ply_active_86,ply_active_87,ply_active_88,ply_active_89,ply_active_9'''''''False,ply_active_9'''''''True,ply_active_92,ply_active_93,ply_active_94,ply_active_95,ply_active_96,ply_active_97,ply_active_98,ply_active_99,ply_active_'''''''True'''''''False'''''''False
dp0,200,10,20.96311916,64.19408746,156.8705995,24.26999702,20,90,45,0,0,-45,-45,0,0,45,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dp1,200,10,14.92970665,58.30710675,128.4049338,27.12447114,20,0,0,90,-45,0,0,0,45,90,0,90,45,0,0,0,-45,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dp2,200,10,18.14345469,76.15210219,170.6589934,18.83248922,20,45,0,0,45,-45,0,90,-45,90,0,90,90,0,90,0,-45,0,0,0,90,0,-45,0,90,90,90,0,-45,90,0,-45,0,0,90,90,90,45,45,45,0,45,45,90,-45,45,0,-45,90,90,90,-45,0,45,-45,90,45,45,0,45,45,45,90,90,90,0,0,-45,0,90,-45,0,90,90,90,0,-45,0,90,0,0,0,-45,0,90,0,90,90,0,90,-45,90,0,-45,45,0,0,45,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False
dp3,200,10,24.46380494,46.07439519,142.9174021,28.83580053,20,0,0,0,45,0,90,90,90,90,90,45,0,0,0,90,90,0,-45,-45,0,0,90,0,-45,45,90,90,90,90,90,45,-45,0,90,0,0,-45,-45,0,90,90,0,0,0,45,90,90,90,90,90,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dp4,200,10,24.84375085,71.4748641,146.9085098,25.79196693,20,0,0,0,0,90,0,90,0,0,0,-45,45,90,0,0,90,0,45,0,-45,90,-45,0,45,90,0,0,0,-45,-45,45,90,45,-45,0,90,45,90,0,90,0,90,90,90,0,90,90,90,0,90,90,90,0,90,0,90,45,90,0,-45,45,90,45,-45,-45,0,0,0,90,45,0,-45,90,-45,0,45,0,90,0,0,90,45,-45,0,0,0,90,0,90,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
dp5,200,10,18.50216054,50.96288406,163.4214253,22.79158865,20,0,-45,90,90,90,0,90,45,0,45,90,0,90,90,90,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dp6,200,10,16.04976647,68.80128717,138.218148,31.13472208,20,45,90,45,0,0,0,90,-45,90,0,0,0,-45,90,-45,0,0,0,90,-45,90,0,0,0,45,90,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dp7,200,10,22.10441904,53.34858057,155.4124881,21.21896437,20,-45,-45,45,45,90,0,45,45,-45,0,0,0,-45,0,90,90,0,45,-45,-45,90,90,90,0,90,45,90,90,90,90,90,90,45,90,0,90,90,90,-45,-45,45,0,90,90,0,-45,0,0,0,-45,45,45,0,90,45,45,-45,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dp8,200,10,22.61993363,74.81773409,165.4985762,31.91719621,20,90,-45,45,0,90,90,0,0,0,-45,0,0,45,45,-45,0,90,-45,45,0,45,-45,90,0,-45,45,45,0,0,-45,0,0,0,90,90,0,45,-45,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dp9,200,10,16.28420538,43.05243957,148.9622182,19.47910255,20,90,90,90,-45,45,0,-45,-45,45,0,0,45,0,0,90,90,90,0,0,45,0,0,45,-45,-45,0,45,-45,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
